timer                                                                                     ms      calls
-------------------------------------------------------------------------------------------------------
allAnalysis                                                                           252125          1
  LOCK_FINDER_BOTTOMUP                                                                     0          1
  RELAX_GETLOCK                                                                            0          1
  RELAX_LOCKS                                                                              0          1
  RELAX_UPDATE_STATE                                                                       0          1
  RELAX_SERVLET_ATTRIBUTE                                                                  0          1
  RELAX_LOCK_STATE                                                                         0          1
  DUMMY_DERIVER_CONCURRENCY                                                                0          1
  IFACE_TRACKER                                                                            0          7
  LOCK_FINDER_TOPDOWN                                                                      0          1
  LOCK_ORDER                                                                               0          1
  THREAD_CONTEXT                                                                           0          1
  ALLOC_FREE_MISMATCH                                                                      0          1
  ASPNET_MVC_VERSION_HEADER                                                                0          1
  ATTRIBUTE_NAME_CONFLICT                                                                  0          1
  MISSING_PERMISSION_FOR_BROADCAST                                                         0          1
  ARRAY_VS_SINGLETON                                                                       0          1
  ASSERT_SIDE_EFFECT                                                                       0          1
  SERVLET_ATOMICITY                                                                        0          1
  BAD_ALLOC_ARITHMETIC                                                                     0          1
  BAD_ALLOC_STRLEN                                                                         0          1
  BAD_CHECK_OF_WAIT_COND                                                                   0          1
  BAD_COMPARE                                                                              0          1
  BAD_EQ                                                                                   0          1
  BAD_EQ_TYPES                                                                             0          1
  BAD_FREE                                                                                 0          1
  IMPLICIT_INTENT                                                                          0          1
  __BAD_CERT_VERIFICATION_ABSTRACT_INTERPRETATION                                          0          1
  EXPOSED_PREFERENCES                                                                      0          1
  BAD_LOCK_OBJECT                                                                          0          1
  BAD_SHIFT                                                                                0          1
  BAD_SIZEOF                                                                               0          1
  CALL_SUPER                                                                               0          1
  CHAR_IO                                                                                  0          1
  CHECKED_RETURN                                                                           0          1
  COM.BAD_FREE                                                                             0          1
  COM.BSTR.CONV                                                                            0          1
  CONSTANT_EXPRESSION_RESULT                                                               0          1
  COPY_PASTE_ERROR                                                                         0          1
  CUDA.DIVERGENCE_AT_COLLECTIVE_OPERATION                                                  0          1
  STRING_GRAPH_CRYPTO                                                                      0          1
  __RISKY_CRYPTO_ABSTRACT_INTERPRETATION                                                   0          1
  CTOR_DTOR_LEAK                                                                           0          1
  CUDA.INACTIVE_THREAD_AT_COLLECTIVE_WARP                                                  0          1
  CUDA.INVALID_MEMORY_ACCESS                                                               0          1
  CUDA.SHARE_FUNCTION                                                                      0          1
  CUDA.SHARE_OBJECT_STREAM_ASSOCIATED                                                      0          1
  DEADCODE                                                                                 0          1
  DELETE_ARRAY                                                                             0          1
  DELETE_VOID                                                                              0          1
  USE_AFTER_FREE                                                                           0          1
  DIVIDE_BY_ZERO                                                                           0          1
  EVALUATION_ORDER                                                                         0          1
  FORWARD_NULL                                                                             0          1
  GUARDED_BY_VIOLATION                                                                     0          1
  HIBERNATE_BAD_HASHCODE                                                                   0          1
  ORM_UNNECESSARY_GET                                                                      0          1
  IDENTIFIER_TYPO                                                                          0          1
  IDENTICAL_BRANCHES                                                                       0          1
  INCOMPATIBLE_CAST                                                                        0          1
  INFINITE_LOOP                                                                            0          1
  __INSECURE_COMMUNICATION_ABSTRACT_INTERPRETATION                                         0          1
  INVALIDATE_ITERATOR                                                                      0          1
    INVALIDATE_ITERATOR                                                                    0          2
  LOCK_EVASION                                                                             0          1
  LOCK_INVERSION                                                                           0          1
  MISMATCHED_ITERATOR                                                                      0          1
  MISSING_BREAK                                                                            0          1
  MISSING_COMMA                                                                            0          1
  MISSING_RESTORE                                                                          0          1
  MISSING_RETURN                                                                           0          1
  MISSING_THROW                                                                            0          1
  NEGATIVE_RETURNS                                                                         0          1
  NESTING_INDENT_MISMATCH                                                                  0          1
  NO_EFFECT                                                                                0          1
  NON_STATIC_GUARDING_STATIC                                                               0          1
  NULL_RETURNS                                                                             0          1
  ORM_LOAD_NULL_CHECK                                                                      0          1
  OVERFLOW_BEFORE_WIDEN                                                                    0          1
  OVERLAPPING_COPY_INTERNAL                                                                0          1
  OVERRUN                                                                                  0          1
  OVERRUN_SYMBOLIC                                                                         0          1
  PASS_BY_VALUE                                                                            0          1
  PREDICTABLE_RANDOM_SEED                                                                  0          1
  PRINTF_ARGS                                                                              0          1
  PRECEDENCE_ERROR                                                                         0          1
  PROPERTY_MIXUP                                                                           0          1
  READLINK                                                                                 0          1
  REGEX_CONFUSION                                                                          0          1
  RESOURCE_LEAK                                                                            0          1
  RETURN_LOCAL                                                                             0          1
  REVERSE_NEGATIVE                                                                         0          1
  REVERSE_INULL                                                                            0          1
  SIGN_EXTENSION                                                                           0          1
  SINGLETON_RACE                                                                           0          1
  SIZEOF_MISMATCH                                                                          0          1
  STRAY_SEMICOLON                                                                          0          1
  STREAM_FORMAT_STATE                                                                      0          1
  SWAPPED_ARGUMENTS                                                                        0          1
  USE_AFTER_MOVE                                                                           0          1
  UNCAUGHT_EXCEPT_INTERNAL                                                                 0          1
  UNEXPECTED_CONTROL_FLOW                                                                  0          1
  UNINIT                                                                                   0          1
  UNINIT_CTOR                                                                              0          1
  UNINTENDED_GLOBAL                                                                        0          1
  UNINTENDED_INTEGER_DIVISION                                                              0          1
  UNLOGGED_SECURITY_EXCEPTION                                                              0          1
  UNREACHABLE                                                                              0          1
  UNRESTRICTED_ACCESS_TO_FILE_PRE                                                          0          1
  UNUSED_VALUE                                                                             0          1
  USELESS_CALL                                                                             0          1
  VARARGS                                                                                  0          1
  VIRTUAL_DTOR                                                                             0          1
  VOLATILE_ATOMICITY                                                                       0          1
  WRAPPER_ESCAPE                                                                           0          1
  WRONG_METHOD                                                                             0          1
  __XML_EXTERNAL_ENTITY_GO                                                                 0          1
  EXTRACT_XREF_SUMMARY                                                                     0          1
  FUNCTION_METRICS                                                                         0          1
  DC.DEADLOCK                                                                              0          1
  DC.DANGEROUS                                                                             0          1
  CODEXM_FUNCTIONS_CHECKER_PASS_BEFORE_TUS                                                 0          1
  RELAX_ACCESS_DBUFFER                                                                     0          1
  RELAX_AFM_ALLOC                                                                          0          1
  RELAX_AFM_FREE                                                                           0          1
  RELAX_ALLOC                                                                              0          1
